Timestamp(ms),Current(uA),D0-D7
0,474.930,00000000
10,473.829,00000000
20,474.996,00000000
30,473.773,00000000
40,474.912,00000000
50,473.219,00000000
60,473.898,00000000
70,472.367,00000000
80,582.727,00000000
90,634.024,00000000
100,695.945,00000000
110,705.072,00000000
120,1421.160,00000000
130,1920.687,00000000
140,2115.798,00000000
150,2182.526,00000000
160,2215.051,00000000
170,2220.581,00000000
180,2225.844,00000000
190,2223.761,00000000
200,2227.363,00000000
210,2224.322,00000000
220,2229.674,00000000
230,2225.681,00000000
240,2233.470,00000000
250,2230.006,00000000
260,2240.665,00000000
270,2240.164,00000000
280,2252.446,00000000
290,2245.948,00000000
300,2251.872,00000000
310,2242.824,00000000
320,1404.497,00000000
330,945.971,00000000
340,859.041,00000000
350,785.235,00000000
360,775.251,00000000
370,756.027,00000000
380,757.568,00000000
390,746.753,00000000
400,755.352,00000000
410,797.523,00000000
420,777.107,00000000
430,752.014,00000000
440,751.561,00000000
450,741.619,00000000
460,746.555,00000000
470,740.135,00000000
480,779.415,00000000
490,793.505,00000000
500,767.788,00000000
510,753.964,00000000
520,756.003,00000000
530,745.855,00000000
540,750.820,00000000
550,744.198,00000000
560,801.549,00000000
570,776.796,00000000
580,755.630,00000000
590,743.742,00000000
600,743.655,00000000
610,734.542,00000000
620,738.783,00000000
630,758.997,00000000
640,789.632,00000000
650,749.012,00000000
660,744.873,00000000
670,733.748,00000000
680,735.018,00000000
690,728.855,00000000
700,732.666,00000000
710,780.095,00000000
720,780.334,00000000
730,740.566,00000000
740,739.168,00000000
750,730.488,00000000
760,732.820,00000000
770,728.054,00000000
780,750.966,00000000
790,781.414,00000000
800,750.224,00000000
810,736.472,00000000
820,734.539,00000000
830,727.524,00000000
840,730.162,00000000
850,726.344,00000000
860,773.237,00000000
870,770.447,00000000
880,741.634,00000000
890,732.519,00000000
900,731.333,00000000
910,725.489,00000000
920,729.732,00000000
930,739.092,00000000
940,782.439,00000000
950,749.909,00000000
960,740.198,00000000
970,730.730,00000000
980,731.019,00000000
990,725.291,00000000
1000,729.112,00000000
1010,765.456,00000000
1020,776.924,00000000
1030,738.595,00000000
1040,737.183,00000000
1050,728.068,00000000
1060,729.794,00000000
1070,725.402,00000000
1080,738.066,00000000
1090,781.151,00000000
1100,755.474,00000000
1110,734.766,00000000
1120,733.997,00000000
1130,726.357,00000000
1140,729.503,00000000
1150,725.536,00000000
1160,766.953,00000000
1170,777.853,00000000
1180,745.292,00000000
1190,734.288,00000000
1200,733.653,00000000
1210,726.751,00000000
1220,730.586,00000000
1230,730.479,00000000
1240,790.114,00000000
1250,754.558,00000000
1260,741.218,00000000
1270,731.732,00000000
1280,732.708,00000000
1290,725.401,00000000
1300,730.352,00000000
1310,753.968,00000000
1320,778.603,00000000
1330,736.894,00000000
1340,736.671,00000000
1350,726.493,00000000
1360,728.752,00000000
1370,723.420,00000000
1380,728.537,00000000
1390,774.754,00000000
1400,763.141,00000000
1410,734.653,00000000
1420,735.176,00000000
1430,727.327,00000000
1440,729.644,00000000
1450,724.030,00000000
1460,752.031,00000000
1470,774.101,00000000
1480,746.251,00000000
1490,732.001,00000000
1500,730.901,00000000
1510,723.774,00000000
1520,726.668,00000000
1530,721.265,00000000
1540,775.505,00000000
