Timestamp(ms),Current(uA),D0-D7
0,2449.247,00000000
10,2521.356,00000000
20,2488.715,00000000
30,2491.291,00000000
40,2431.034,00000000
50,2426.430,00000000
60,2380.371,00000000
70,2380.941,00000000
80,2344.845,00000000
90,2348.061,00000000
100,2321.217,00000000
110,2329.577,00000000
120,2308.298,00000000
130,2314.284,00000000
140,2292.362,00000000
150,1987.001,00000000
160,1172.082,00000000
170,1030.407,00000000
180,1294.075,00000000
190,1404.520,00000000
200,1424.018,00000000
210,1445.627,00000000
220,1434.531,00000000
230,1443.546,00000000
240,1429.712,00000000
250,1438.012,00000000
260,1425.652,00000000
270,1402.146,00000000
280,1173.068,00000000
290,1102.411,00000000
300,1062.649,00000000
310,1058.945,00000000
320,1045.292,00000000
330,1051.535,00000000
340,1041.628,00000000
350,1049.127,00000000
360,1039.501,00000000
370,1046.734,00000000
380,1037.319,00000000
390,1044.685,00000000
400,1035.161,00000000
410,1041.883,00000000
420,1033.076,00000000
430,1040.641,00000000
440,1031.777,00000000
450,1039.865,00000000
460,1031.336,00000000
470,1038.606,00000000
480,1030.468,00000000
490,1037.451,00000000
500,1028.655,00000000
510,1035.624,00000000
520,1028.157,00000000
530,1034.349,00000000
540,1021.250,00000000
550,1031.228,00000000
560,1026.186,00000000
570,1033.990,00000000
580,1026.559,00000000
590,1033.226,00000000
600,1026.039,00000000
610,1034.033,00000000
620,1027.549,00000000
630,1035.061,00000000
640,1028.067,00000000
650,1036.795,00000000
660,1029.645,00000000
670,1037.990,00000000
680,1030.073,00000000
690,1038.522,00000000
700,1029.880,00000000
710,1036.771,00000000
720,1027.826,00000000
730,1036.095,00000000
740,1028.070,00000000
750,1035.855,00000000
760,1027.525,00000000
770,1033.900,00000000
780,1025.318,00000000
790,1032.228,00000000
800,1028.811,00000000
810,1033.010,00000000
820,1024.785,00000000
830,1030.212,00000000
840,1022.819,00000000
850,1028.238,00000000
860,1021.390,00000000
870,1028.154,00000000
880,1020.752,00000000
890,1026.308,00000000
900,1019.118,00000000
910,1024.194,00000000
920,1018.045,00000000
930,1023.931,00000000
940,1017.444,00000000
950,1023.748,00000000
960,1018.124,00000000
970,1024.466,00000000
980,1018.414,00000000
990,1024.727,00000000
1000,1018.671,00000000
1010,1024.407,00000000
1020,1017.771,00000000
1030,1022.870,00000000
1040,1017.121,00000000
1050,1022.597,00000000
1060,1016.077,00000000
1070,1023.403,00000000
1080,1016.146,00000000
1090,1020.724,00000000
1100,1014.932,00000000
1110,1020.106,00000000
1120,1014.363,00000000
1130,1019.307,00000000
1140,1014.082,00000000
1150,1019.828,00000000
1160,1014.977,00000000
1170,1022.428,00000000
1180,1016.777,00000000
1190,1026.326,00000000
1200,1019.762,00000000
1210,1028.188,00000000
1220,1020.622,00000000
1230,1025.781,00000000
1240,1017.202,00000000
1250,1021.879,00000000
1260,1014.620,00000000
1270,1018.652,00000000
1280,1012.636,00000000
1290,1016.459,00000000
1300,1010.666,00000000
1310,1014.420,00000000
1320,1009.134,00000000
1330,1017.250,00000000
1340,1010.924,00000000
1350,1016.674,00000000
1360,1013.087,00000000
1370,1020.743,00000000
1380,1015.098,00000000
1390,1025.187,00000000
1400,1019.862,00000000
1410,1029.839,00000000
1420,1022.073,00000000
1430,1029.057,00000000
1440,1019.372,00000000
1450,1024.208,00000000
1460,1015.928,00000000
1470,1019.209,00000000
1480,1012.066,00000000
1490,1015.399,00000000
1500,1009.440,00000000
1510,1012.564,00000000
1520,1006.921,00000000
1530,1010.894,00000000
1540,1006.929,00000000
1550,1013.096,00000000
1560,1008.805,00000000
1570,1016.248,00000000
1580,1011.951,00000000
1590,1021.146,00000000
1600,1017.906,00000000
1610,1027.177,00000000
1620,1020.534,00000000
1630,1029.211,00000000
1640,1020.569,00000000
1650,1026.869,00000000
1660,1018.656,00000000
1670,1021.988,00000000
1680,1014.145,00000000
1690,1017.689,00000000
1700,1011.514,00000000
1710,1014.917,00000000
1720,1008.948,00000000
1730,1012.433,00000000
1740,1007.950,00000000
1750,1013.231,00000000
1760,1008.430,00000000
1770,1015.570,00000000
