Timestamp(ms),Current(uA),D0-D7
0,478.610,00000000
10,475.751,00000000
20,477.948,00000000
30,475.622,00000000
40,477.860,00000000
50,475.312,00000000
60,477.327,00000000
70,475.041,00000000
80,477.205,00000000
90,474.950,00000000
100,476.855,00000000
110,474.738,00000000
120,476.582,00000000
130,474.542,00000000
140,476.296,00000000
150,474.059,00000000
160,475.995,00000000
170,474.321,00000000
180,476.270,00000000
190,474.361,00000000
200,476.581,00000000
210,474.745,00000000
220,477.167,00000000
230,475.322,00000000
240,477.749,00000000
250,475.649,00000000
260,477.754,00000000
270,474.969,00000000
280,476.648,00000000
290,474.356,00000000
300,476.040,00000000
310,474.192,00000000
320,476.050,00000000
330,474.098,00000000
340,475.805,00000000
350,473.794,00000000
360,475.067,00000000
370,472.436,00000000
380,592.000,00000000
390,639.515,00000000
400,709.867,00000000
410,933.540,00000000
420,1659.855,00000000
430,2015.645,00000000
440,2152.965,00000000
450,2195.158,00000000
460,2211.256,00000000
470,2214.966,00000000
480,2218.438,00000000
490,2216.978,00000000
500,2219.909,00000000
510,2217.161,00000000
520,2220.974,00000000
530,2219.024,00000000
540,2225.376,00000000
550,2221.351,00000000
560,2227.503,00000000
570,2225.804,00000000
580,2233.187,00000000
590,2227.193,00000000
600,2231.596,00000000
610,2215.733,00000000
620,1260.207,00000000
630,911.591,00000000
640,822.203,00000000
650,767.028,00000000
660,756.986,00000000
670,741.503,00000000
680,746.715,00000000
690,736.760,00000000
700,744.318,00000000
710,735.641,00000000
720,742.451,00000000
730,735.198,00000000
740,742.620,00000000
750,734.863,00000000
760,743.100,00000000
770,735.242,00000000
780,742.737,00000000
790,734.486,00000000
800,742.020,00000000
810,734.121,00000000
820,741.315,00000000
830,733.755,00000000
840,741.850,00000000
850,734.217,00000000
860,742.427,00000000
870,734.138,00000000
880,741.796,00000000
890,733.189,00000000
900,740.752,00000000
910,732.873,00000000
920,741.072,00000000
930,732.871,00000000
940,741.147,00000000
950,733.074,00000000
960,740.669,00000000
970,732.234,00000000
980,740.432,00000000
990,732.925,00000000
1000,740.972,00000000
1010,732.871,00000000
1020,740.352,00000000
1030,732.710,00000000
1040,740.770,00000000
1050,732.602,00000000
1060,741.482,00000000
1070,732.222,00000000
1080,739.544,00000000
1090,730.640,00000000
1100,738.349,00000000
1110,730.180,00000000
1120,738.215,00000000
1130,729.584,00000000
1140,738.335,00000000
1150,730.099,00000000
1160,737.538,00000000
1170,729.819,00000000
1180,738.163,00000000
1190,730.071,00000000
1200,738.036,00000000
1210,728.655,00000000
1220,737.196,00000000
1230,729.144,00000000
1240,736.976,00000000
1250,728.770,00000000
1260,737.548,00000000
1270,729.341,00000000
1280,737.053,00000000
1290,728.773,00000000
1300,736.994,00000000
1310,728.687,00000000
1320,735.995,00000000
1330,728.288,00000000
1340,736.602,00000000
1350,728.629,00000000
1360,736.925,00000000
1370,728.631,00000000
1380,737.134,00000000
1390,729.094,00000000
1400,737.275,00000000
1410,729.502,00000000
1420,737.861,00000000
1430,729.100,00000000
1440,737.003,00000000
1450,728.632,00000000
1460,737.354,00000000
1470,729.700,00000000
1480,737.764,00000000
1490,729.065,00000000
1500,737.985,00000000
1510,729.132,00000000
1520,737.493,00000000
1530,729.911,00000000
1540,737.797,00000000
1550,729.243,00000000
1560,737.585,00000000
1570,728.974,00000000
1580,737.305,00000000
1590,728.783,00000000
1600,737.401,00000000
1610,728.723,00000000
